EX_ID,QTY,VOL,WGT,ADDR,LAT,LON,VAN_ID
BJFHD20190530000372,200.0,5.694,832.0,北京市通州区永乐店镇德仁务村后街老农场东200米,39.68111996729188,116.78778189299658,京AHD288
BJFHD20190610000114,4.0,0.18332,26.0,北京市朝阳区安苑路11号邮电新闻大厦西办公楼5层,39.98988251577753,116.4218669961219,京P961H9
BJFHD20190610000120,20.0,0.9166,130.0,北京市海淀区唐家岭路东50米（上地伟业院内）,40.08407752237777,116.2879568874954,京EM0606
BJPSD20190610000109,2.0,0.0206,4.85,北京北京马驹桥镇北京市 北京市 通州区 通州区玉桥中路玉桥家园西里底商联想专卖,39.89959557146747,116.68426271201051,京ER0336
BJPSD20190610000111,1.0,0.055999999999999994,8.86,北京市海淀区丹棱街16号海兴大厦B座B1层（合力创新）,39.984475423353615,116.31651557013289,京N9XJ53
BJPSD20190610000117,30.0,0.3375,71.1,北京市海淀区冷泉东路100号院,40.036053055654946,116.24037238790245,京EM0606
BJPSD20190610000149,180.0,1.2896999999999998,295.695,北京海淀区中关村东路89号恒兴大厦20B,39.98871632260247,116.33936156960856,京PL1965
BJPSD20190610000163,6.0,0.23537999999999998,34.739999999999995,北京市海淀区丹棱街16号海兴大厦,39.984121419133594,116.31654486477387,京N9XJ53
BJPSD20190610000171,14.0,0.54922,81.06,北京北京海淀北京市 北京市 海淀区 丹棱街16号海兴大厦,39.984121419133594,116.31654486477387,京N9XJ53
BJPSD20190610000198,2.0,0.0212,4.9,北京北京海淀北京市 北京市 海淀区 海淀区知春路理想大厦,39.98266814149613,116.32819039859163,京EAQ152
BJPSD20190610000200,2.0,0.0212,4.9,北京北京海淀北京市 北京市 海淀区 海淀区知春路理想大厦,39.982607071766594,116.32824598393998,京EAQ152
BJPSD20190610000217,3.0,0.17598,29.43,北京北京通州区新华街道办事处北京市通州区滨河中路甲10号,39.91648819443178,116.6716378329495,京ER0336
BJPSD20190610000220,6.0,0.25632,39.72,北京市北京顺义区北京市顺义区马坡右堤路民生花园销售中心,40.18385740700837,116.66435139219523,京AFQ101
