EX_ID,QTY,VOL,WGT,ADDR,LAT,LON,VAN_ID
BJFHD20190604000579,1,0.02847,4.05,北京市海淀区海淀大街2号四通大厦710室,39.98808271,116.3219667,京EAQ152
BJFHD20190604000593,1,0.02847,4.05,（新）北京市丰台区广安路9号国投财富广场1号楼11层,39.89652255,116.3303729,京LAS851
BJFHD20190604000595,100,2.267,340,北京市朝阳区卷石天地大厦B座805,39.98968798,116.4651186,京N9XJ53
BJFHD20190604000602,108,3.69792,615.6,北京市石景山区鲁谷路35号电子一所,39.90976762,116.2343959,京FBX827
BJFHD20190605000260,200,4.534,680,北京市朝阳区卷石天地大厦B座805,39.98968798,116.4651186,京N9XJ53
BJFHD20190605000475,2,0.09696,13.3,北京市西城区月坛街道月坛南路1号院3号楼招商银行大厦,39.92164586,116.3628678,京LAS851
BJFHD20190606000127,6,0.1605,23.1,北京东城区建国门内大街28号民生金融中心C座10楼,39.91329441,116.4259887,京QQ06C8
BJFHD20190606000435,9,0.24075,34.65,北京市海淀区中关村东路18号财智国际大厦B1608室,39.99379097,116.3406472,京PL1965
BJFHD20190606000688,70,1.9929,283.5,北京市丰台区云岗北里40号,39.82293494,116.1641324,京N9XJ53
BJFHD20190606000802,3,0.06801,10.35,北京市昌平区北清路1号珠江摩尔国际大厦6-2-508,40.10490758,116.2965645,京FBX827
BJFHD20190606000813,11,0.50413,71.5,北京市西城区德外大街12号,39.96757233,116.3878052,京PCT771
BJPSD20190606000052,100,2.543,461,北京海淀区芙蓉里南街6号院百环公寓1012,39.9927131,116.308723,京PM1867
BJPSD20190610000004,2,0.0212,4.9,北京市海淀区丹棱街16号海兴大厦,39.98412142,116.3165449,京HFV249
BJPSD20190610000005,2,0.0212,4.9,北京市海淀区丹棱街16号海兴大厦,39.98412142,116.3165449,京HFV249
BJPSD20190610000006,2,0.0212,4.9,北京市海淀区丹棱街16号海兴大厦,39.98412142,116.3165449,京HFV249
BJPSD20190610000007,4,0.04613,5.27333,北京市海淀区西北旺邓庄南路万家盛景大厦A座 608-609,40.07261578,116.2777252,京YK8178
BJPSD20190610000008,20,0.225,47.4,北京市海淀区苏州街12号西屋国际B701,39.9867021,116.31284,京EAY728
BJPSD20190610000009,90,1.0125,213.9,北京市海淀区苏州街12号西屋国际B701,39.9867021,116.31284,京EAY728
BJPSD20190610000010,219,8.61848,1257.81,北京市海淀区万泉河桥南56-4号,39.99055766,116.3072426,京EAY728
BJPSD20190610000012,20,0.8445,130.5,北京北京海淀北京市 北京市 海淀区 海淀区中关村北大街170号,39.99245249,116.3232354,京Q13VF5
BJPSD20190610000013,28,0.30107,44.33331,北京市海淀区上地信息路11号彩虹大厦1幢负二层001室,40.04530402,116.3151346,京YK8178
