EX_ID,QTY,VOL,WGT,ADDR,LAT,LON,VAN_ID
BJFHD20190611000160,2,0.05736,8,DOA-北京海淀区知春里111号理想大厦B1/曹骏玮,39.98266814,116.3281904,京PBA810
BJFHD20190611000282,17,0.38539,58.65,北京北京北京北京市海淀区学清路38号金马大厦B座1802/张娜,40.00752791,116.3603446,京N0AB48
BJFHD20190613000206,1,0.03186,4.45,北京海淀区双清路125号华业大厦1层,40.0027302,116.3398101,京PBA810
BJFHD20190613000503,6,0.17082,24.3,北京西城区太平桥大街25号 中国光大中心B座7层705/沈小伟,39.92356463,116.3702927,京Q06F35
BJPSD20190613000004,4,0.1689,25.52,北京北京通州北京市 北京市 通州区 通州区新城南关156号联想电脑店,39.90674068,116.6645587,京PCT771
BJPSD20190613000060,10,0.659,94.8,北京市海淀区苏州街18号长远天地大厦C座后院,39.98473844,116.3138444,京PL1870
BJPSD20190613000062,120,4.9404,727.8,北京市海淀区北四环西路68号左岸工社11层1109A,39.9903461,116.3109127,京N9XJ53
BJPSD20190613000066,2,0.0246,5.36,北京市怀柔区后横街府前观邸底商1号楼,40.32354191,116.6424054,京FBM153
BJPSD20190613000067,20,0.5356,83.4,北京市北京海淀区中关村东路89号20B,39.98851264,116.3395785,京PBA810
BJPSD20190613000068,4,0.43876,44.88,北京市海淀区苏州街18号长远天地大厦C座 3单元602-603房间,39.98473844,116.3138444,京PL1870
BJPSD20190613000069,1,0.056,8.86,北京海淀区芙蓉路芙蓉里小区甲1号,39.99484501,116.3069894,京EAQ152
BJPSD20190613000070,20,0.252,55.3,北京市海淀区中关村E世界卸货平台,39.9902304,116.3163344,京N9XJ53
BJPSD20190613000071,12,0.60288,90.12,北京北京海淀北京市 北京市 海淀区 海淀区西北旺冷泉东路库房,40.04685502,116.2379027,京AGA725
BJPSD20190613000072,48,1.75812,255.18,北京北京海淀北京市 北京市 海淀区 海淀区西北旺冷泉东路库房,40.04685502,116.2379027,京AGA725
BJPSD20190613000073,2,0.0218,3.67125,北京市海淀区苏州街18号长远天地大厦B2座地下3层36号库房,39.98496497,116.3131137,京EAQ152
BJPSD20190613000074,7,0.0994,18.62,北京市海淀区人大北路33号院2号楼沁园公寓107,39.97912592,116.3136924,京EAQ152
BJPSD20190613000078,100,3.496,460,北京市北京海淀区北京市海淀区中关村公馆D座101,39.98371438,116.3188839,京PL1870
BJPSD20190613000081,10,0.3935,57.55,北京市海区淀知春路111号理想大厦地下二层,39.98266814,116.3281904,京PBA810
