EX_ID,QTY,VOL,WGT,ADDR,LAT,LON,VAN_ID
BJFHD20190612000230,50.0,2.2915,325.0,北京海淀区信息路甲28号科实大厦D座地下三层,40.04001255633832,116.31875942860187,京Q9V0D3
BJFHD20190614000047,50.0,1.1335,182.5,北京市海淀区西北旺冷泉东路100号,40.036053055654946,116.24037238790245,京AGA725
BJPSD20190614000028,6.0,0.0756,16.3,北京市东城区安乐林路69号惠达商务会馆601室,39.871669659401405,116.41219421576342,京PCT771
BJPSD20190614000051,94.0,1.33762,270.72,北京市丰台区长安路小井村292号,39.8851070781881,116.30330962215277,京PBA810
BJPSD20190614000052,43.0,1.80067,259.57,北京市海淀区万泉河路56-4号,39.98450428728398,116.30804432280081,京FBX827
BJPSD20190614000054,20.0,0.7869999999999999,115.1,北京市海淀区联想1+1大厦B2-6,39.9890209675813,116.32125697483498,京N9UB75
BJPSD20190614000057,28.0,1.40672,201.6,北京市海淀区知春路 豪景佳苑南门3号楼406,39.980240215775034,116.3292166344842,京FBX827
BJPSD20190614000061,2.0,0.056920000000000005,8.0,北京北京海淀北京市 北京市 海淀区 海淀区知春路132号中发电子大厦3059,39.98134364357461,116.3250658926041,京EAQ152
BJPSD20190614000063,50.0,0.57,120.0,北京海淀区芙蓉里南街6号院百环公寓1012,39.99271309676544,116.30872302046107,京EAQ152
BJPSD20190614000070,40.0,2.0096,296.8,北京市海淀区北大西门承泽园南门对面西苑操场2号门口,40.002493045516275,116.29817896909694,京EAY728
BJPSD20190614000073,3.0,0.16797,26.28,北京北京顺义北京市 北京市 顺义区 顺义区顺义林河北大街17号,40.10025669273928,116.67195451798077,京PCT771
BJPSD20190614000074,100.0,1.31,305.0,北京市丰台区广安路小井村292号 王晨宇 17717177690,39.8851070781881,116.30330962215277,京PBA810
BJPSD20190614000076,12.0,0.46842,69.6,TC/北京市海淀区海淀路19-1号中成大厦607 /晨阳,39.99214415117413,116.31717427869894,京EAQ152
BJPSD20190614000078,8.0,0.3378,51.04,北京北京海淀北京市 北京市 海淀区 北京市北京市海淀区海淀区知春路理想大厦,39.96548984110075,116.3054340544974,京EAQ152
BJPSD20190614000084,100.0,1.415,293.0,北京市丰台区广安路292号,39.88445862240512,116.30175116674555,京PBA810
BJPSD20190614000085,2.0,0.0218,3.66125,北京市海淀区上地六街康德大厦4层6409,40.048955,116.310368,京ADV2858
BJPSD20190614000086,20.0,0.7869999999999999,115.1,北京市海区淀知春路111号理想大厦地下二层,39.98266814149613,116.32819039859163,京EAQ152
BJPSD20190614000087,200.0,5.086,922.0,北京海淀区芙蓉里北路芙蓉里小区土产库房,39.99600463280941,116.30788087162175,京EAY728
BJPSD20190614000088,100.0,2.4419999999999997,365.0,北京市海淀区 北大南门 中成大厦,39.9920883445681,116.31757237446365,京N9UB75
BJPSD20190614000089,100.0,1.21,274.0,北京北京海淀北京市 北京市 海淀区 中关村芙蓉北路芙蓉里小区8号楼1-01,39.99484501425735,116.30698940580992,京FBX827
BJPSD20190614000093,120.0,3.0516,553.2,北京市中关村海淀路北大南门中成大厦1109,39.9920883445681,116.31757237446365,京N9UB75
BJPSD20190614000094,40.0,1.677,254.4,北京市海淀区中关村南大街甲6号铸诚大厦后院,39.97040998753921,116.33165103163658,京FBX827
BJPSD20190614000095,100.0,1.31,303.0,北京市北京海淀区苏州街1+1大厦,39.989228712569215,116.31187796193758,京N9UB75
BJPSD20190614000104,96.0,1.3660800000000002,272.02,北京市大兴区采育镇彩业路与育英街交叉口/刘晓明/张丙生,39.65139366897342,116.67194063916064,京PBA810
BJPSD20190614000108,30.0,1.2732,195.75,北京北京海淀北京市 北京市 海淀区 海淀区天创大厦南门,39.987624201401054,116.31556208980018,京N9UB75
BJPSD20190614000109,20.0,1.1732,186.0,北京市省  北京市  海淀区    万泉河桥南56-4号,39.9905576602698,116.30724261926876,京FBX827
BJPSD20190614000115,250.0,12.1976,1503.3,北京市海淀区万泉河桥南56-4号,39.9905576602698,116.30724261926876,京YK8178
BJPSD20190614000129,14.0,0.1526,25.628750000000004,北京市海淀区中成大厦（北京市海淀区海淀路19-1号）204室,39.992191413778286,116.3173332787742,京EAQ152
